mol_idx,product_smiles,uncertainty_std,uncertainty_mean,uncertainty_range
0,CC(C)(C)OC(=O)N1CCC2(CCCc3ccccc32)CC1,0.08134351995887812,2.99668558438619,0.2276301383972168
1,C[C@@H]1C[C@H](NC(=O)OC(C)(C)C)CN(c2ccncc2[N+](=O)[O-])C1,0.07942267627058412,3.0895503759384155,0.20548772811889648
2,O=C(O)Cn1ccc(C2CC2)n1,0.08535627678099836,2.3693286577860513,0.2172400951385498
3,Clc1ccc2ncc(CCc3n[nH]c(N4CCCC4)n3)nc2c1,0.08302644866422258,3.0259954929351807,0.20805096626281738
4,CCOC(=O)N1c2cc3c(cc2[C@H](N)C[C@@H]1C)CCC3,0.1583243779081014,2.817257563273112,0.400676965713501
5,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCBr,0.09406785384131726,3.0730838775634766,0.24064397811889648
6,O=C(OCc1ccccc1)N1CCC(N[C@@H]2CC3(CC[C@H]2O)OCCO3)CC1,0.06130087510389636,3.2421836058298745,0.14423584938049316
7,N#Cc1ccc2c(c1)nc1n2C[C@@H](CO)O1,0.07185289975961616,2.6800349156061807,0.18220257759094238
8,Nc1cccnc1Nc1cccc(/C=C/c2cncc(/C=C/c3ccncc3)c2)c1,0.10661223231268141,3.266670743624369,0.2776157855987549
9,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.13596088802088643,3.3176302512486777,0.39743995666503906
10,COC(=O)c1nc(C#CCO)c2cccnc2c1OC(=O)c1ccccc1,0.18441171454861408,3.0687934160232544,0.4505162239074707
11,Cc1noc(C)c1-c1ccc(N)c([N+](=O)[O-])c1,0.07325154887697595,2.717340032259623,0.20583605766296387
12,Cn1nnc2ccc(C(=NNC(=O)OC(C)(C)C)c3ccc(Cl)cc3)cc21,0.11471876037914389,3.1887081066767373,0.3402562141418457
13,Cc1cccc(COc2cccc(OCCc3ccccn3)c2)c1OCC#N,0.21184661719163972,3.137537201245626,0.5174436569213867
14,Cc1nc(N2C[C@@H](C)N(Cc3ccc(F)cc3)C2=O)sc1C(=O)O,0.19143522811297423,2.938069502512614,0.47035789489746094
15,FC(F)(F)c1ccccc1O[C@H]1CCNC1,0.18296842669333083,2.5743290980656943,0.45295190811157227
16,CC(Oc1ccncn1)c1ccc(C(=O)O)cc1,0.16876543318329104,2.707618514696757,0.43898701667785645
17,O=Cc1ccc(Cl)c(I)c1F,0.15134615496933668,2.2438862323760986,0.3417820930480957
18,Nc1nc2ccccc2c2c1nc1n2[C@@H](CO)COC1,0.07501451030118506,2.8884185949961343,0.1940155029296875
19,CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2F)cc1NC(=O)CC(=O)c1csc(-n2ccnc2)n1,0.24507623181363833,3.393305857976278,0.5937614440917969
20,O=C(N1CCOCCOCCOCCOCCOCC1)C12CC3CC(CC(C3)C1)C2,0.11476331589401442,3.293993274370829,0.3129234313964844
21,CC1(C)COc2c(CCC(=O)O)cc(Br)cc21,0.1743151789522944,2.6592408816019693,0.43903398513793945
22,O=C1Cc2cc(S)ccc2N1,0.043397342876288277,2.3381704886754355,0.10980987548828125
23,Nc1ncccc1-c1ccc(O)cc1,0.1282430648172221,2.472687085469564,0.32036256790161133
24,Cc1cncc(NC(=O)CBr)n1,0.15998912170974156,2.3656240701675415,0.4346897602081299
25,CC(=O)N1CCCc2cc(CO)ccc21,0.10740932187703027,2.5888007481892905,0.2686583995819092
26,C=C(CCCCC)C(=O)c1cccnc1,0.105351329582126,2.5927533706029258,0.23807573318481445
